[1, 2, 3, 3, 3, 3, 4, 0, 0, 0, 1, 1, 5, 6]
[7, 8, 9, 0, 10, 1, 11, 12, 13, 1, 14, 15, 16, 0, 17, 0, 18, 0, 16, 0, 19, 0, 20, 0, 21, 22, 0, 22, 21, 22, 21, 22, 23, 22, 24, 22]
[21, 16]
[16, 25]
[26, 16]
[3, 27, 28, 29, 30, 31, 0, 16, 0, 32, 33, 1, 0, 0, 0, 34]
[9, 14, 35, 16, 36, 37, 0, 25, 38]
[0, 39, 40, 41, 39, 42]
[31, 43]
[22, 0]
[22, 0]
[22, 0]
[16, 44, 0, 45, 26, 0, 45, 26, 0]
[0, 16]
[0, 38]
[0, 45]
[0, 16]
[16, 0]
[0, 45]
[46, 23]
[47, 24]
[48, 42]
[49, 44]
[50, 51]
[52, 53]
[48, 45]
[30, 0]
[0, 30]
[54, 55]
[56, 57]
[51, 58]
[53, 59]
[48, 45]
[16, 43]
[1, 0]
[19, 0]
[16, 0]
[13, 0]
[17, 22]
[22, 0]
[16, 0]
[43, 0]
[55, 0]
[0, 57]
[53, 0]
[51, 0]
[28, 60]
[55, 0]
[51, 0]
[53, 0]
[52, 53]
[50, 51]
[0, 57]
[1, 0]
[1, 61]
[62, 44]
[0, 45]
[60, 0]
[63, 34]
[64, 32]
[65, 58]
[59, 66]
[4, 0]
[1, 0]
[59, 67]
[67, 58]
[24, 0]
[23, 0]
[41, 0]
[39, 42]
[0, 55]
[0, 57]
[61, 68]
[0, 44]
[18, 69]
[20, 70]
[7]
