[0, 0, 1, 0, 2, 3, 1, 4, 1, 0, 0, 2, 5, 6, 0, 7, 0, 0, 7, 8, 9, 10, 0, 0, 0, 11, 12, 13, 0, 14, 15, 0, 0, 7, 16, 17, 18, 19, 0, 20, 21, 22, 23, 0, 24, 0, 0, 25, 0, 0, 26, 27, 1, 0, 28, 1, 0, 0, 0, 29, 0, 7, 7, 0, 1, 30, 31, 32, 33, 0, 34, 35, 36, 0, 37, 0, 38, 39, 0, 40, 2, 0, 0, 0, 0, 0, 0, 0, 41, 42, 0, 0, 43, 0, 44, 0, 0, 0, 0, 0, 45, 46, 2, 47, 2, 0, 19, 2, 2, 1, 48, 0, 1, 2, 49, 50, 0, 50, 50, 0, 50, 50, 0, 50, 51, 51, 52, 51, 53, 0, 0, 0, 0, 0, 0, 54, 55, 0, 50, 0, 56, 57, 0, 58, 0, 54, 59, 60, 50, 53, 61, 57, 0, 62, 54, 63, 0, 50, 0, 50, 64, 0, 57, 0, 2, 0, 54, 2, 65, 65, 65, 65, 65, 0, 57, 0, 0, 0, 54, 0, 0, 0, 66, 0, 0, 0, 57, 0, 0, 0, 54, 0, 65, 65, 65, 65, 65, 0, 57, 0, 67, 0, 54, 68, 0, 0, 0, 0, 0, 0, 57, 0, 0, 19, 0, 2, 2, 2, 53, 0, 65, 0, 0, 0, 0, 65, 65, 0, 0, 0, 19, 0, 0, 66, 65, 65, 65, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 69, 0, 0, 0, 70, 71, 0, 2, 72, 0, 0, 0, 2, 73, 74, 2, 0, 0, 0, 2, 2, 0, 7, 7, 7, 0, 1, 0, 0, 75, 76, 77, 78, 79, 80, 81, 0, 19, 0, 82, 2, 0, 2, 1, 83, 84, 85, 0, 2, 0, 0, 53, 86, 86, 0, 53, 19, 56, 56, 56, 19, 0, 0, 0, 0, 87, 88, 88, 53, 60, 60, 89, 0, 56, 53, 53, 88, 88, 0, 0, 0, 53, 90, 53, 53, 91, 91, 0, 0, 0, 0, 53, 53, 53, 53, 53, 53, 53, 91, 53, 53, 0, 91, 0, 0, 0, 92, 93, 0, 94, 0, 95, 96, 97, 98, 0, 99, 100, 101, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 104, 0, 0, 105, 106, 0, 107, 0, 88, 0, 88, 0, 108, 108, 0, 0, 56, 51, 52, 51, 51, 0, 0, 0, 0, 109, 110, 2, 0, 111, 112, 113, 114, 0, 0, 0, 89, 0, 115, 116, 117, 19, 118, 119, 120, 121, 90, 88, 88, 88, 88, 122, 123, 124, 19, 125, 126, 127, 128, 0, 89, 0, 0, 0, 129, 130, 131, 0, 0, 2, 132, 2, 0, 88, 88, 88, 88, 133, 134, 135, 19, 136, 137, 138, 139, 0, 90, 90, 53, 53, 2, 140, 141, 19, 142, 143, 144, 145, 0, 90, 90, 0, 0, 146, 147, 148, 90, 149, 150, 151, 152, 153, 90, 0, 91, 53, 0, 154, 155, 86, 0, 0, 156, 53, 53, 53, 157, 158, 0, 0, 56, 86, 0, 86, 2, 0, 0, 0, 90, 0, 0, 108, 0, 0, 159, 160, 153, 161, 0, 0, 162, 163, 0, 0, 0, 7, 7, 0, 0, 0, 164, 0, 0, 0, 0, 165, 166, 0, 0, 19, 167, 0, 168, 0, 169, 0, 0, 0, 170, 171, 172, 173, 174, 0, 175, 0, 86, 1, 0, 1, 0, 0, 0, 176, 177, 0, 7, 0, 0, 1, 178, 0, 0, 179, 180, 0, 19, 181, 182, 183, 184, 185, 186, 0, 0, 0, 1, 0, 1, 0, 19, 0, 187, 188, 189, 190, 0, 191, 0, 0, 0, 0, 0, 192, 0, 193, 194, 0, 195, 196, 87, 0, 197, 197, 0, 197, 197, 0, 197, 0, 197, 0, 197, 0, 197, 0, 198, 199, 7, 200, 0, 0, 0, 201, 0, 7, 0, 0, 202, 0, 1, 0, 203, 0, 0, 204, 205, 206, 0, 0, 207, 0, 0, 208, 209, 210, 2, 211, 212, 213, 0, 0, 0, 214, 215, 2, 216, 217, 0, 218, 0, 219, 220, 2, 221, 0, 0, 222, 223, 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 2, 225, 0, 226, 0, 0, 0, 0, 2, 227, 228, 0, 229, 1, 0, 1, 1, 0, 230, 0, 0, 51, 51, 52, 51, 86, 86, 0, 0, 0, 56, 0, 0, 60, 56, 86, 0, 231, 86, 0, 0, 0, 0, 232, 233, 0, 54, 234, 60, 0, 57, 0, 235, 0, 0, 1, 0, 19, 0, 1, 0, 0, 2, 7, 0, 2, 0, 2, 236, 0, 2, 0, 2, 237, 238, 0, 2, 2, 239, 240, 0, 2, 2, 241, 242, 0, 2, 0, 243, 0, 0, 0, 0, 2, 0, 0, 2, 0, 2, 19, 56, 56, 19, 0, 0, 0, 51, 53, 0, 91, 53, 88, 244, 86, 60, 87, 89, 0, 91, 56, 0, 88, 88, 53, 53, 60, 244, 53, 1, 0, 1, 0, 0, 0, 88, 88, 88, 245, 0, 88, 0, 0, 246, 2, 0, 0, 0, 247, 7, 0, 0, 7, 248, 249, 1, 250, 2, 0, 1, 251, 252, 0, 0, 2, 253, 254, 255, 1, 0, 256, 257, 258, 259, 260, 261, 262, 1, 263, 2, 264, 2, 265, 266, 267, 0, 19, 268, 269, 270, 271, 2, 272, 273, 274, 0, 275, 276, 277, 0, 0, 0, 278, 279, 280, 281, 2, 282, 0, 0, 0, 0, 0, 283, 2, 2, 0, 0, 7, 7, 7, 0, 284, 2, 0, 0, 19, 0, 0, 0, 2, 285, 286, 287, 288, 289, 290, 2, 244, 291, 51, 52, 51, 292, 293, 294, 19, 295, 2, 296, 297, 0, 88, 88, 88, 88, 298, 299, 300, 19, 301, 302, 303, 304, 90, 89, 305, 306, 307, 19, 0, 308, 2, 2, 0, 88]
[177, 0, 2, 2, 2, 0, 163, 2, 2, 0, 0, 2, 2, 2, 0, 2, 2, 309, 2, 2, 0, 0, 0, 19, 19, 19, 19, 19, 19, 0, 2, 310, 310, 0, 2, 310, 310, 2, 2, 2, 311, 312, 313, 310, 2, 2, 0, 0, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 154, 0, 314, 0, 176, 0, 0, 179, 0, 0, 0, 0, 0, 158, 2, 0, 0, 2, 0, 162, 19, 19, 315, 2, 310, 2, 0, 0, 316, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 2, 2, 180, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 155, 2, 2, 2, 2, 2, 2, 0, 2, 310, 310, 0, 2, 310, 310, 2, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 0, 0]
[317, 318, 319, 0, 2, 2, 134, 320, 0, 321, 2, 151, 318, 322, 323, 133, 324, 0, 270, 286, 325, 2, 326, 250, 2, 327, 328, 0, 329, 2, 330, 2, 331, 332, 333, 2, 334, 335, 336, 337, 338, 339, 339, 2, 340, 2, 341, 342, 343, 344, 345, 346, 347, 348, 349, 2, 350, 351, 349, 2, 2, 352, 352, 338, 2, 337, 353, 0, 354, 2, 0, 355, 356, 357, 358, 2, 2, 2, 2, 2, 2, 359, 2, 2, 338, 360, 2, 349, 0, 2, 361, 362, 2, 352, 339, 0, 363, 0, 0, 364, 0, 343, 361, 352, 0, 365, 339, 2, 0, 366, 2]
[367, 368, 369, 370, 367, 368, 0, 370, 367, 368, 0, 370, 367, 368, 0, 370, 367, 369, 0, 0, 371, 371, 371, 371, 372]
[368, 370]
[364, 352]
[363, 349]
[87, 373]
[60, 374]
[0, 371, 143, 0, 375]
[0, 371]
[0, 367]
[371, 0]
[371, 0]
[367, 0]
[367, 0]
[371, 0]
[371, 0]
[361, 0]
[352, 0]
[361, 0]
[349, 0]
[7, 0]
[1, 0]
[1, 0]
[376, 377]
[354, 0]
[318, 0]
[378, 0]
[108, 0]
[57, 0]
[379, 0]
[328, 0]
[380, 0]
[381, 0]
[54, 0]
[382, 0]
[383, 0]
[384, 0]
[0, 339]
[0, 338]
[366, 365]
[360, 362]
[69, 385]
[32, 324, 337]
[0, 328]
[386, 0]
[0, 311]
[0, 19]
[0, 19]
[0, 375]
[0, 378]
[318, 0]
[337, 350]
[348, 349]
[344, 338]
[318, 0]
[387, 0]
[0, 388]
[193, 0]
[371, 0]
[1, 0]
[389, 0]
[342, 0]
[108, 0]
[309, 0]
[371, 0]
[0, 375]
[341, 390]
[336, 391]
[345, 392]
[346, 393]
[394, 334]
[395, 335]
[0, 320]
[7, 0]
[7, 0]
[19, 0]
[19, 0]
[1, 0]
[19, 0]
[19, 0]
[0, 1]
[0, 1]
[1, 0]
[1, 0]
[1, 0]
[1, 0]
[1, 0]
[1, 0]
[1, 0]
[1, 0]
[1, 0]
[7, 0]
[7, 0]
[7, 0]
[7, 0]
[7, 0]
[7, 0]
[7, 0]
[7, 0]
[129, 396]
[52, 397]
[0, 398]
[0, 399]
[371, 372]
[0, 285]
[400, 231]
[0, 401]
[19, 0]
[158, 0]
[327, 0]
[0, 371]
[402, 218]
[403, 187]
[404, 189]
[405, 191]
[406, 190]
[407, 229]
[408, 226]
[409, 223]
[410, 224]
[411, 222]
[412, 394]
[413, 395]
[0, 372]
[372, 371]
[52, 414]
[414, 0]
[397, 0]
[415, 0]
[52, 415]
[130, 416]
[125, 417]
[347, 418]
[351, 419]
[324, 387]
[387, 325]
[157, 0]
[7, 18]
[7, 200]
[164, 0]
[188, 0]
[156, 0]
[7, 15]
[14, 420]
[33, 421]
[183, 422]
[29, 423]
[173, 424]
[0, 425]
[0, 338]
[339, 426]
[318, 0]
[327, 0]
[394, 0]
[427, 0]
[425, 52]
[0, 308]
[428, 247]
[352, 426]
[324, 331]
[354, 280]
[354, 264]
[429, 430]
[0, 129]
[0, 420]
[318, 0]
[45, 0]
[425, 0]
[171, 431]
[167, 432]
[183, 0]
[14, 0]
[33, 0]
[193, 0]
[78, 382]
[77, 382]
[120, 433]
[124, 434]
[128, 435]
[354, 326]
[19, 249]
[354, 254]
[354, 261]
[354, 253]
[354, 266]
[19, 258]
[354, 283]
[354, 292]
[192, 0]
[387, 332]
[0, 44]
[121, 436]
[354, 357]
[357, 257]
[326, 248]
[342, 337]
[340, 437]
[337, 350]
[419, 438]
[418, 438]
[349, 0]
[354, 0]
[395, 0]
[0, 325]
[439, 0]
[440, 0]
[0, 371]
[354, 359]
[317]
[270]
[250]
[315]
[316]
[329]
[358]
[296]
[295]
[307]
[135]
[306]
[252]
[118]
[115]
[160]
[301]
[290]
[294]
[119]
[286]
[245]
[291]
[110]
[109]
[113]
[112]
[117]
[111]
[277]
[319]
[312]
[313]
[321]
[323]
[322]
[134]
[133]
[355]
[305]
[268]
[132]
[142]
[220]
[255]
[279]
[49]
[198]
[199]
[233]
[64]
